frame,timestamp,landmark_type,body_part_id,label,confidence,landmark_id,x,y,z,x_pixel,y_pixel
26,0.2184873949579832,hand,0,Left,0.8455895185470581,0,0.4025310277938843,0.4743286967277527,-1.379154639380431e-07,772,512
26,0.2184873949579832,hand,0,Left,0.8455895185470581,1,0.4012461304664612,0.48841264843940735,-0.0036194762215018272,770,527
26,0.2184873949579832,hand,0,Left,0.8455895185470581,2,0.39741167426109314,0.4977121353149414,-0.006410326808691025,763,537
26,0.2184873949579832,hand,0,Left,0.8455895185470581,3,0.3942219913005829,0.5070512890815735,-0.008787228725850582,756,547
26,0.2184873949579832,hand,0,Left,0.8455895185470581,4,0.393317848443985,0.5136134028434753,-0.010921472683548927,755,554
26,0.2184873949579832,hand,0,Left,0.8455895185470581,5,0.3814595341682434,0.4925336539745331,-0.005878380499780178,732,531
26,0.2184873949579832,hand,0,Left,0.8455895185470581,6,0.37819042801856995,0.5047745108604431,-0.009039139375090599,726,545
26,0.2184873949579832,hand,0,Left,0.8455895185470581,7,0.3841497004032135,0.5111555457115173,-0.011180924251675606,737,552
26,0.2184873949579832,hand,0,Left,0.8455895185470581,8,0.38852861523628235,0.5153428912162781,-0.012454855255782604,745,556
26,0.2184873949579832,hand,0,Left,0.8455895185470581,9,0.3804117739200592,0.4923659563064575,-0.005119202192872763,730,531
26,0.2184873949579832,hand,0,Left,0.8455895185470581,10,0.3775576949119568,0.5095276832580566,-0.008011172525584698,724,550
26,0.2184873949579832,hand,0,Left,0.8455895185470581,11,0.38467937707901,0.5172481536865234,-0.009247653186321259,738,558
26,0.2184873949579832,hand,0,Left,0.8455895185470581,12,0.38925206661224365,0.5198906660079956,-0.010066961869597435,747,561
26,0.2184873949579832,hand,0,Left,0.8455895185470581,13,0.38107070326805115,0.4927753508090973,-0.004563779570162296,731,532
26,0.2184873949579832,hand,0,Left,0.8455895185470581,14,0.3789609372615814,0.510778546333313,-0.006966994609683752,727,551
26,0.2184873949579832,hand,0,Left,0.8455895185470581,15,0.3851337432861328,0.5190045833587646,-0.0075285169295966625,739,560
26,0.2184873949579832,hand,0,Left,0.8455895185470581,16,0.3899483382701874,0.522057831287384,-0.007909147068858147,748,563
26,0.2184873949579832,hand,0,Left,0.8455895185470581,17,0.38350728154182434,0.493828147649765,-0.004166224040091038,736,533
26,0.2184873949579832,hand,0,Left,0.8455895185470581,18,0.38347187638282776,0.5077795386314392,-0.005202427040785551,736,548
26,0.2184873949579832,hand,0,Left,0.8455895185470581,19,0.3879413902759552,0.5151429772377014,-0.004767550155520439,744,556
26,0.2184873949579832,hand,0,Left,0.8455895185470581,20,0.3920789957046509,0.5187960863113403,-0.004414520226418972,752,560
27,0.226890756302521,hand,0,Right,0.5361886620521545,0,0.4069257378578186,0.4664071202278137,-1.510275353666657e-07,781,503
27,0.226890756302521,hand,0,Right,0.5361886620521545,1,0.4039492607116699,0.4827471375465393,-0.0031583933159708977,775,521
27,0.226890756302521,hand,0,Right,0.5361886620521545,2,0.3993000388145447,0.49452686309814453,-0.005366797558963299,766,534
27,0.226890756302521,hand,0,Right,0.5361886620521545,3,0.39518991112709045,0.5048990249633789,-0.0072615970857441425,758,545
27,0.226890756302521,hand,0,Right,0.5361886620521545,4,0.3933134377002716,0.5130814909934998,-0.008896475657820702,755,554
27,0.226890756302521,hand,0,Right,0.5361886620521545,5,0.3834391236305237,0.4848356544971466,-0.004515873268246651,736,523
27,0.226890756302521,hand,0,Right,0.5361886620521545,6,0.3810374438762665,0.5039666891098022,-0.006807797588407993,731,544
27,0.226890756302521,hand,0,Right,0.5361886620521545,7,0.3870190978050232,0.5116682052612305,-0.00842687115073204,743,552
27,0.226890756302521,hand,0,Right,0.5361886620521545,8,0.39156726002693176,0.5136259198188782,-0.009335452690720558,751,554
27,0.226890756302521,hand,0,Right,0.5361886620521545,9,0.3818846046924591,0.48346662521362305,-0.00365566392429173,733,522
27,0.226890756302521,hand,0,Right,0.5361886620521545,10,0.37842535972595215,0.5058937668800354,-0.006187534425407648,726,546
27,0.226890756302521,hand,0,Right,0.5361886620521545,11,0.3858407437801361,0.5143660306930542,-0.007449829485267401,740,555
27,0.226890756302521,hand,0,Right,0.5361886620521545,12,0.39163047075271606,0.5143622756004333,-0.008152401074767113,751,555
27,0.226890756302521,hand,0,Right,0.5361886620521545,13,0.3819071650505066,0.4833567142486572,-0.00290989619679749,733,522
27,0.226890756302521,hand,0,Right,0.5361886620521545,14,0.3784710168838501,0.5035326480865479,-0.0050390977412462234,726,543
27,0.226890756302521,hand,0,Right,0.5361886620521545,15,0.3851351737976074,0.5113412737846375,-0.005684995092451572,739,552
27,0.226890756302521,hand,0,Right,0.5361886620521545,16,0.3910529911518097,0.5118785500526428,-0.0058981929905712605,750,552
27,0.226890756302521,hand,0,Right,0.5361886620521545,17,0.38327500224113464,0.48463743925094604,-0.0023007087875157595,735,523
27,0.226890756302521,hand,0,Right,0.5361886620521545,18,0.3806692361831665,0.4987505376338959,-0.0033775365445762873,730,538
27,0.226890756302521,hand,0,Right,0.5361886620521545,19,0.3839713931083679,0.505494236946106,-0.0031777650583535433,737,545
27,0.226890756302521,hand,0,Right,0.5361886620521545,20,0.3878723978996277,0.5072267055511475,-0.0027658238541334867,744,547
28,0.23529411764705882,hand,0,Left,0.5257549285888672,0,0.40651893615722656,0.46671155095100403,-1.4805168291331938e-07,780,504
28,0.23529411764705882,hand,0,Left,0.5257549285888672,1,0.40421783924102783,0.48154187202453613,-0.004244821146130562,776,520
